species,phyloname.x,Order.x,Family.x,Bodymass,Age_at_first_breeding,Max_longevity,Name_update.helps.later.,Traded,Cites_name,Listing,Trade_since_2000,Trade_since_2015
Merops malimbicus,Merops malimbicus,CORACIIFORMES,Meropidae,50.37,1.61692671,7.999535555,Merops malimbicus,0,Merops malimbicus,Not Listed,0,0
Merops nubicoides,Merops nubicoides,CORACIIFORMES,Meropidae,42.4,1.391579632,7.594054118,Merops nubicoides,0,Merops nubicoides,Not Listed,0,0
Merops nubicus,Merops nubicus,CORACIIFORMES,Meropidae,42.4,1.391579632,7.429630415,Merops nubicus,1,Merops nubicus,Not Listed,0,0
Merops oreobates,Merops oreobates,CORACIIFORMES,Meropidae,23.96,1.34373366,6.752317363,Merops oreobates,1,Merops oreobates,Not Listed,0,0
Merops ornatus,Merops ornatus,CORACIIFORMES,Meropidae,29.5,1.153528684,6.756114068,Merops ornatus,1,Merops ornatus,Not Listed,0,0
Merops persicus,Merops persicus,CORACIIFORMES,Meropidae,49.3,1.295273147,8.057518655,Merops persicus,1,Merops persicus,Not Listed,0,0
Merops philippinus,Merops philippinus,CORACIIFORMES,Meropidae,34,1.097847141,6.433397559,Merops philippinus,1,Merops philippinus,Not Listed,0,0
Merops pusillus,Merops pusillus,CORACIIFORMES,Meropidae,15.1,1.010971116,5.417297238,Merops pusillus,1,Merops pusillus,Not Listed,0,0
Merops revoilii,Merops revoilii,CORACIIFORMES,Meropidae,12.9,1.13533914,6.22304151,Merops revoilii,0,Merops revoilii,Not Listed,0,0
Merops superciliosus,Merops superciliosus,CORACIIFORMES,Meropidae,38.5,1.333031121,7.372557255,Merops superciliosus,1,Merops superciliosus,Not Listed,0,0
Merulaxis ater,Merulaxis ater,PASSERIFORMES,Rhinocryptidae,35.03,1.229406643,9.162026035,Merulaxis ater,0,Merulaxis ater,Not Listed,0,0
Merulaxis stresemanni,Merulaxis stresemanni,PASSERIFORMES,Rhinocryptidae,37,1.242441934,9.126361718,Merulaxis stresemanni,0,Merulaxis stresemanni,Not Listed,0,0
Mesembrinibis cayennensis,Mesembrinibis cayennensis,PELECANIFORMES,Threskiornithidae,756,2.133373623,15.82384986,Mesembrinibis cayennensis,1,Mesembrinibis cayennensis,Not Listed,0,0
Mesitornis unicolor,Mesitornis unicolor,MESITORNITHIFORMES,Mesitornithidae,148,2.01835108,13.5202176,Mesitornis unicolor,1,Mesitornis unicolor,Not Listed,0,0
Mesitornis variegatus,Mesitornis variegatus,MESITORNITHIFORMES,Mesitornithidae,113,1.771262275,12.17093098,Mesitornis variegatus,1,Mesitornis variegatus,Not Listed,0,0
Dendropicos goertae,Mesopicos goertae,PICIFORMES,Picidae,44.48,1.364246669,9.35305247,Dendropicos goertae,0,Dendropicos goertae,Not Listed,0,0
Dendropicos griseocephalus,Mesopicos griseocephalus,PICIFORMES,Picidae,40.89,1.394792527,9.603627099,Dendropicos griseocephalus,0,Dendropicos griseocephalus,Not Listed,0,0
Metabolus rugensis,Metabolus rugensis,PASSERIFORMES,Monarchidae,52,1.326685464,9.526727338,Metabolus rugensis,0,Metabolus rugensis,Not Listed,0,0
Metallura aeneocauda,Metallura aeneocauda,CAPRIMULGIFORMES,Trochilidae,5.2,0.973764309,7.667689916,Metallura aeneocauda,0,Metallura aeneocauda,Listed,1,1
Metallura baroni,Metallura baroni,CAPRIMULGIFORMES,Trochilidae,4.3,0.937986131,7.060737662,Metallura baroni,0,Metallura baroni,Listed,0,0
Metallura eupogon,Metallura eupogon,CAPRIMULGIFORMES,Trochilidae,4.6,0.950529799,7.394079074,Metallura eupogon,0,Metallura eupogon,Listed,1,0
Metallura iracunda,Metallura iracunda,CAPRIMULGIFORMES,Trochilidae,3.85,0.870949469,6.899599388,Metallura iracunda,0,Metallura iracunda,Listed,0,0
Metallura odomae,Metallura odomae,CAPRIMULGIFORMES,Trochilidae,5.1,0.970046865,7.355887374,Metallura odomae,0,Metallura odomae,Listed,1,1
Metallura phoebe,Metallura phoebe,CAPRIMULGIFORMES,Trochilidae,5.4,0.981030206,7.65607773,Metallura phoebe,1,Metallura phoebe,Listed,1,1
Metallura theresiae,Metallura theresiae,CAPRIMULGIFORMES,Trochilidae,4.9,0.962432826,7.373930903,Metallura theresiae,0,Metallura theresiae,Listed,1,1
Metallura tyrianthina,Metallura tyrianthina,CAPRIMULGIFORMES,Trochilidae,3.8,0.915422874,6.95380534,Metallura tyrianthina,1,Metallura tyrianthina,Listed,1,1
Metallura williami,Metallura williami,CAPRIMULGIFORMES,Trochilidae,4.5,0.946423538,7.046575201,Metallura williami,1,Metallura williami,Listed,1,0
Metopidius indicus,Metopidius indicus,CHARADRIIFORMES,Jacanidae,155,1.499726586,13.69032672,Metopidius indicus,1,Metopidius indicus,Not Listed,0,0
Metopothrix aurantiaca,Metopothrix aurantiaca,PASSERIFORMES,Furnariidae,11.2,0.947174849,7.112993058,Metopothrix aurantiaca,0,Metopothrix aurantiaca,Not Listed,0,0
Metriopelia aymara,Metriopelia aymara,COLUMBIFORMES,Columbidae,61.8,1.585625738,12.71215716,Metriopelia aymara,1,Metriopelia aymara,Not Listed,0,0
Metriopelia ceciliae,Metriopelia ceciliae,COLUMBIFORMES,Columbidae,55.1,1.454710831,11.53675046,Metriopelia ceciliae,1,Metriopelia ceciliae,Not Listed,0,0
Metriopelia melanoptera,Metriopelia melanoptera,COLUMBIFORMES,Columbidae,100,1.743295665,14.34869433,Metriopelia melanoptera,1,Metriopelia melanoptera,Not Listed,0,0
Metriopelia morenoi,Metriopelia morenoi,COLUMBIFORMES,Columbidae,28.6,1.362347569,11.14227182,Metriopelia morenoi,0,Metriopelia morenoi,Not Listed,0,0
Micrastur buckleyi,Micrastur buckleyi,FALCONIFORMES,Falconidae,464,2.23155668,15.91676826,Micrastur buckleyi,0,Micrastur buckleyi,Listed,1,1
Micrastur gilvicollis,Micrastur gilvicollis,FALCONIFORMES,Falconidae,209,1.913539782,13.57147067,Micrastur gilvicollis,1,Micrastur gilvicollis,Listed,1,1
Micrastur mintoni,Micrastur mintoni,FALCONIFORMES,Falconidae,209.5,1.914421407,13.7659701,Micrastur mintoni,0,Micrastur mintoni,Listed,1,0
Micrastur mirandollei,Micrastur mirandollei,FALCONIFORMES,Falconidae,548.99,2.305096768,16.31527588,Micrastur mirandollei,0,Micrastur mirandollei,Listed,1,1
Micrastur plumbeus,Micrastur plumbeus,FALCONIFORMES,Falconidae,185.41,1.64973431,12.89154559,Micrastur plumbeus,1,Micrastur plumbeus,Listed,0,0
Micrastur ruficollis,Micrastur ruficollis,FALCONIFORMES,Falconidae,177.64,1.960916847,13.36686829,Micrastur ruficollis,1,Micrastur ruficollis,Listed,1,0
Micrastur semitorquatus,Micrastur semitorquatus,FALCONIFORMES,Falconidae,621.68,2.509686958,16.99997422,Micrastur semitorquatus,0,Micrastur semitorquatus,Listed,1,1
Micrathene whitneyi,Micrathene whitneyi,STRIGIFORMES,Strigidae,41,1.091415954,7.42888882,Micrathene whitneyi,0,Micrathene whitneyi,Listed,0,0
Microbates cinereiventris,Microbates cinereiventris,PASSERIFORMES,Polioptilidae,11.9,1.136925794,7.368105134,Microbates cinereiventris,0,Microbates cinereiventris,Not Listed,0,0
Microbates collaris,Microbates collaris,PASSERIFORMES,Polioptilidae,10.2,0.969172619,6.875976816,Microbates collaris,0,Microbates collaris,Not Listed,0,0
Microcerculus bambla,Microcerculus bambla,PASSERIFORMES,Troglodytidae,19.1,1.348464764,8.546556034,Microcerculus bambla,0,Microcerculus bambla,Not Listed,0,0
Microcerculus marginatus,Microcerculus marginatus,PASSERIFORMES,Troglodytidae,18.22,1.18948046,7.927024821,Microcerculus marginatus,0,Microcerculus marginatus,Not Listed,0,0
